Positive,Negative,Neutral,adj_price,close_price
0.098,0.125,0.777,12383.889648,12383.889648
0.096,0.165,0.739,12480.299805,12480.299805
0.122,0.149,0.729,12442.830078,12442.830078
0.138,0.135,0.727,12650.360352,12650.360352
0.111,0.134,0.755,12743.19043,12743.19043
0.095,0.173,0.732,12707.180338666667,12707.180338666667
0.139,0.161,0.7,12671.170247333332,12671.170247333332
0.156,0.17,0.674,12635.160156,12635.160156
0.143,0.133,0.724,12265.129883,12265.129883
0.178,0.121,0.7,12200.099609,12200.099609
0.105,0.122,0.773,12247.0,12247.0
0.074,0.125,0.801,12182.129883,12182.129883
0.116,0.181,0.703,12201.423177333332,12201.423177333332
0.113,0.159,0.728,12220.716471666667,12220.716471666667
0.066,0.107,0.827,12240.009766,12240.009766
0.081,0.143,0.776,12373.410156,12373.410156
0.109,0.131,0.76,12552.240234,12552.240234
0.133,0.14,0.727,12376.980469,12376.980469
0.091,0.178,0.731,12348.209961,12348.209961
0.084,0.224,0.692,12345.4624025,12345.4624025
0.071,0.215,0.714,12342.714844,12342.714844
0.06,0.255,0.685,12339.9672855,12339.9672855
0.101,0.137,0.762,12337.219727,12337.219727
0.104,0.188,0.708,12427.259766,12427.259766
0.078,0.102,0.819,12284.299805,12284.299805
0.091,0.146,0.763,12381.019531,12381.019531
0.07,0.203,0.727,12444.086263,12444.086263
0.073,0.092,0.835,12507.152995,12507.152995
0.077,0.142,0.781,12570.219727,12570.219727
0.101,0.118,0.782,12684.919922,12684.919922
0.086,0.158,0.756,12694.280273,12694.280273
0.092,0.163,0.745,12582.179688,12582.179688
0.112,0.165,0.723,12266.389648,12266.389648
0.045,0.213,0.741,12263.893229000001,12263.893229000001
0.06,0.13,0.81,12261.39681,12261.39681
0.06,0.138,0.802,12258.900391,12258.900391
0.072,0.169,0.759,12213.799805,12213.799805
0.101,0.135,0.763,12254.990234,12254.990234
0.107,0.13,0.762,12040.389648,12040.389648
0.093,0.124,0.784,11893.69043,11893.69043
0.089,0.234,0.677,11842.510417,11842.510417
0.099,0.176,0.725,11791.330404,11791.330404
0.089,0.17,0.741,11740.150391,11740.150391
0.091,0.134,0.774,12156.80957,12156.80957
0.101,0.098,0.801,12110.240234,12110.240234
0.122,0.089,0.79,12145.740234,12145.740234
0.067,0.117,0.816,11951.089844,11951.089844
0.095,0.172,0.733,11958.143229333333,11958.143229333333
0.103,0.155,0.743,11965.196614666667,11965.196614666667
0.084,0.137,0.779,11972.25,11972.25
0.112,0.181,0.707,12392.660156,12392.660156
0.109,0.169,0.722,12099.660156,12099.660156
0.096,0.129,0.774,12361.320312,12361.320312
0.076,0.092,0.832,12408.150146,12408.150146
0.096,0.132,0.772,12454.97998,12454.97998
